"id","wealth","role","forced_honest","guarded_by","time","guarded"
54,0.804342239934872,"elite",FALSE,21,41,TRUE
55,0.12024301723353,"freelance_thief",FALSE,NA,41,FALSE
56,0.822888448435901,"stay",FALSE,NA,41,FALSE
57,0.08874718047329,"guard",FALSE,NA,41,FALSE
58,0.120890693109949,"freelance_thief",FALSE,NA,41,FALSE
59,0.14646170167379,"freelance_thief",FALSE,NA,41,FALSE
60,0,"inactive",FALSE,NA,41,FALSE
1,0.0318644812890625,"honest",TRUE,NA,42,FALSE
2,0.572995108056293,"stay",FALSE,NA,42,FALSE
3,0.149299667906585,"freelance_thief",FALSE,NA,42,FALSE
4,0.783331871824344,"elite",FALSE,35,42,TRUE
5,0.811722354820789,"stay",FALSE,NA,42,FALSE
6,0.254923419581001,"freelance_thief",FALSE,NA,42,FALSE
7,0.745832972080603,"stay",FALSE,NA,42,FALSE
8,0.64572262339441,"stay",FALSE,NA,42,FALSE
9,0.134857188514724,"freelance_thief",FALSE,NA,42,FALSE
10,0.666000868777626,"stay",FALSE,NA,42,FALSE
11,0.0800621386595719,"freelance_thief",FALSE,NA,42,FALSE
12,0.188392583045103,"freelance_thief",FALSE,NA,42,FALSE
13,0.21446992303051,"freelance_thief",FALSE,NA,42,FALSE
14,0.799251237169264,"stay",FALSE,NA,42,FALSE
15,0.149591665140498,"freelance_thief",FALSE,NA,42,FALSE
16,0.15419309396825,"freelance_thief",FALSE,NA,42,FALSE
17,0.0991300684673203,"guard",FALSE,NA,42,FALSE
18,0.214080557168252,"freelance_thief",FALSE,NA,42,FALSE
19,0.716859555321827,"stay",FALSE,NA,42,FALSE
20,0.797583015801628,"stay",FALSE,NA,42,FALSE
21,0.09723059854972,"freelance_thief",FALSE,NA,42,FALSE
22,0.159034846853133,"freelance_thief",FALSE,NA,42,FALSE
23,0.0674992079432704,"freelance_thief",FALSE,NA,42,FALSE
24,0.784479662851746,"elite",FALSE,34,42,TRUE
25,0.77803484136785,"elite",FALSE,28,42,TRUE
