"total_wealth","utilitarian_welfare","theft_costs","contracting_costs","guarding_costs","punishment_losses","gini","top10_share","n_honest","n_patrons","n_hired_thieves","n_freelance","n_guards","n_idle","time","n_agents","rich_threshold","elite_threshold","regime"
32.8736187926086,22.0603986844,0.6,0.66,0.24,0,0.449477328341028,0.214185374630112,1,22,22,8,3,1,27,60,0.630077693524998,1.1505766577413,"Coexistence"
32.3736187926086,22.3490797307504,0.5,0,0.64,0,0.437115197137253,0.211748586108432,1,0,0,25,8,18,28,60,0.620494360191664,1.1330766577413,"Guard regime"
31.8536187926086,22.1711931457696,0.52,0,0.56,0,0.432332145244966,0.208619676350999,1,0,0,26,7,19,29,60,0.610527693524998,1.1148766577413,"Guard regime"
30.5436187926086,20.8851819309974,0.62,0.69,0.16,0,0.445446557873754,0.212115348846866,1,23,23,8,2,1,30,60,0.585419360191665,1.0690266577413,"Coexistence"
29.9260926410738,21.0580920980735,0.56,0,0.4,0.0575261515347816,0.442987347279689,0.21231274645459,1,0,0,28,5,21,31,60,0.573583442287248,1.04741324243758,"Guard regime"
29.3860926410738,20.7796407191438,0.54,0,0.48,0,0.438102225616494,0.212143728468896,1,0,0,27,6,20,32,60,0.563233442287248,1.02851324243758,"Guard regime"
28.8460926410738,20.5877064165419,0.54,0,0.48,0,0.428161475454353,0.21030878204811,1,0,0,27,6,20,33,60,0.552883442287248,1.00961324243758,"Guard regime"
28.2460926410738,20.3558623381352,0.6,0,0.24,0,0.431310522688834,0.210756510531897,1,0,0,30,3,23,34,60,0.541383442287248,0.988613242437583,"Guard regime"
27.6460926410738,19.925471465197,0.6,0,0.24,0,0.438597995014379,0.212460075119416,1,0,0,30,3,23,35,60,0.529883442287248,0.967613242437583,"Guard regime"
27.1060926410738,19.4409034132237,0.54,0,0.48,0,0.438740283004744,0.212786065947788,1,0,0,27,6,20,36,60,0.519533442287248,0.948713242437583,"Guard regime"
26.5860926410738,19.1936658264129,0.52,0,0.56,0,0.426285988551006,0.209516027988189,1,0,0,26,7,19,37,60,0.509566775620581,0.930513242437583,"Guard regime"
25.9860926410738,19.0666274499571,0.6,0,0.24,0,0.432126122196892,0.209661354910322,1,0,0,30,3,23,38,60,0.498066775620581,0.909513242437583,"Guard regime"
25.3660926410738,18.7639874174601,0.62,0,0.16,0,0.429655640947942,0.212363726583164,1,0,0,31,2,24,39,60,0.486183442287248,0.887813242437583,"Guard regime"
24.8060926410738,18.2550450453954,0.56,0,0.4,0,0.421853575033696,0.212725423500838,1,0,0,28,5,21,40,60,0.475450108953915,0.868213242437583,"Guard regime"
24.1907833915117,17.7245898829936,0.54,0,0.48,0.0753092495621048,0.426956611900649,0.211719952563868,1,0,0,27,6,20,41,60,0.463656681670641,0.84667741870291,"Guard regime"
23.6107833915117,17.511345736846,0.58,0,0.32,0,0.433032698352218,0.210424165499685,1,0,0,29,4,22,42,60,0.452540015003974,0.82637741870291,"Guard regime"
23.0107833915117,17.1153125788174,0.6,0,0.24,0,0.444488711574256,0.212274578393144,1,0,0,30,3,23,43,60,0.441040015003974,0.80537741870291,"Guard regime"
22.4307833915117,16.7143731797997,0.58,0,0.32,0,0.443157320288867,0.213852832455628,1,0,0,29,4,22,44,60,0.429923348337308,0.78507741870291,"Guard regime"
21.8907833915117,16.2714366267728,0.54,0,0.48,0,0.436872057235161,0.212037706879577,1,0,0,27,6,20,45,60,0.419573348337308,0.76617741870291,"Guard regime"
21.2500611676925,15.8731494309966,0.58,0,0.32,0.0607222238192387,0.441562462358513,0.2112125398856,1,0,0,29,4,22,46,60,0.407292839047439,0.743752140869236,"Guard regime"
20.6065513112396,15.4465507516167,0.6,0,0.24,0.0435098564528746,0.455254330388584,0.213747767707577,1,0,0,30,3,23,47,60,0.394958900132092,0.721229295893386,"Guard regime"
20.039489406107,14.9266878907709,0.54,0,0.48,0.027061905132542,0.451838536356063,0.214048296308906,1,0,0,27,6,20,48,60,0.384090213617052,0.701382129213747,"Guard regime"
19.519489406107,14.6068360185621,0.52,0,0.56,0,0.437207633470429,0.210504665269827,1,0,0,26,7,19,49,60,0.374123546950385,0.683182129213747,"Guard regime"
18.939489406107,14.4504916617384,0.58,0,0.32,0,0.437955967870703,0.210672846573531,1,0,0,29,4,22,50,60,0.363006880283718,0.662882129213747,"Guard regime"
18.3073660437351,13.8726698210229,0.56,0,0.4,0.0721233623719461,0.438153665773349,0.21185945705009,1,0,0,28,5,21,51,60,0.350891182504923,0.640757811530729,"Guard regime"
17.7273660437351,13.5680110973986,0.58,0,0.32,0,0.447092439555014,0.214478098274015,1,0,0,29,4,22,52,60,0.339774515838256,0.620457811530729,"Collapse"
